image,label,file_name,fold
006ae731-780c-4af1-927c-6f848b5769b2.jpg,1,E:\second-competition\data\train_data\train_image\006ae731-780c-4af1-927c-6f848b5769b2.jpg,1
00c4fc80-6288-421f-9f16-05dac324f096.jpg,1,E:\second-competition\data\train_data\train_image\00c4fc80-6288-421f-9f16-05dac324f096.jpg,4
01fd6a9d-a91e-45f8-a9e5-7a974c375c67.jpg,1,E:\second-competition\data\train_data\train_image\01fd6a9d-a91e-45f8-a9e5-7a974c375c67.jpg,0
02518451-9bb3-4f9f-bfd0-e98a696c6657.jpg,1,E:\second-competition\data\train_data\train_image\02518451-9bb3-4f9f-bfd0-e98a696c6657.jpg,3
02808ce1-2871-4fc5-aeea-01d1de73e408.jpg,1,E:\second-competition\data\train_data\train_image\02808ce1-2871-4fc5-aeea-01d1de73e408.jpg,2
036f79cf-87de-4e10-88d5-8f5677a57774.jpg,1,E:\second-competition\data\train_data\train_image\036f79cf-87de-4e10-88d5-8f5677a57774.jpg,2
0420f082-64f3-417b-ac7f-754b6aa1d68c.jpg,1,E:\second-competition\data\train_data\train_image\0420f082-64f3-417b-ac7f-754b6aa1d68c.jpg,3
08602b79-be3b-40f4-8099-ed94ce349328.jpg,1,E:\second-competition\data\train_data\train_image\08602b79-be3b-40f4-8099-ed94ce349328.jpg,2
0bc4890f-8b67-42eb-9413-892b9f479b84.jpg,1,E:\second-competition\data\train_data\train_image\0bc4890f-8b67-42eb-9413-892b9f479b84.jpg,0
0c29160c-0d2b-4064-afbf-494f10f3630a.jpg,1,E:\second-competition\data\train_data\train_image\0c29160c-0d2b-4064-afbf-494f10f3630a.jpg,1
0D8F1605-1B77-4E4B-80EB-BCBB81B87CEF.png,1,E:\second-competition\data\train_data\train_image\0D8F1605-1B77-4E4B-80EB-BCBB81B87CEF.png,2
0dc64589-ae04-4bc0-9d21-a36f051680f2.jpg,1,E:\second-competition\data\train_data\train_image\0dc64589-ae04-4bc0-9d21-a36f051680f2.jpg,4
0F7510EC-F9CA-4992-9D84-831B5EF756FE.png,1,E:\second-competition\data\train_data\train_image\0F7510EC-F9CA-4992-9D84-831B5EF756FE.png,0
1031f01d-30b7-4f3d-a0fd-8c131dc6860b.jpg,1,E:\second-competition\data\train_data\train_image\1031f01d-30b7-4f3d-a0fd-8c131dc6860b.jpg,4
1173106e-314d-4e80-a764-8bec30e93f1f.jpg,1,E:\second-competition\data\train_data\train_image\1173106e-314d-4e80-a764-8bec30e93f1f.jpg,3
117800ea-af37-45c2-adc3-08db82c97d97.jpg,1,E:\second-competition\data\train_data\train_image\117800ea-af37-45c2-adc3-08db82c97d97.jpg,1
126d6f5e-b103-4c37-93de-f42e189f04c0.jpg,1,E:\second-competition\data\train_data\train_image\126d6f5e-b103-4c37-93de-f42e189f04c0.jpg,0
129ee2ea-cb4a-418e-98af-8f083220e08a.jpg,1,E:\second-competition\data\train_data\train_image\129ee2ea-cb4a-418e-98af-8f083220e08a.jpg,0
13ad1799-bb6b-4ba9-a6e9-f70cee098a93.jpg,1,E:\second-competition\data\train_data\train_image\13ad1799-bb6b-4ba9-a6e9-f70cee098a93.jpg,3
13AD2CFA-5302-4E5F-85D3-E8822A27F862.png,1,E:\second-competition\data\train_data\train_image\13AD2CFA-5302-4E5F-85D3-E8822A27F862.png,4
152ebbca-0bf1-4ba7-afbd-a4ae89059e49.jpg,1,E:\second-competition\data\train_data\train_image\152ebbca-0bf1-4ba7-afbd-a4ae89059e49.jpg,2
1557914554.png,1,E:\second-competition\data\train_data\train_image\1557914554.png,4
1acba27f-705e-44f0-855f-1708d865f814.jpg,1,E:\second-competition\data\train_data\train_image\1acba27f-705e-44f0-855f-1708d865f814.jpg,4
1CED6F7A-910F-41D3-AC5B-453489A22C72.png,1,E:\second-competition\data\train_data\train_image\1CED6F7A-910F-41D3-AC5B-453489A22C72.png,1
1d7ca150-a9bb-4ad7-bb2d-51e561cda7d0.jpg,1,E:\second-competition\data\train_data\train_image\1d7ca150-a9bb-4ad7-bb2d-51e561cda7d0.jpg,1
204247f9-4b67-45ef-964c-e2b6e7c6dee0.jpg,1,E:\second-competition\data\train_data\train_image\204247f9-4b67-45ef-964c-e2b6e7c6dee0.jpg,4
205727CC-D1F5-4CA8-ADC7-C510D790BCE4.png,1,E:\second-competition\data\train_data\train_image\205727CC-D1F5-4CA8-ADC7-C510D790BCE4.png,4
21eb48ec-71ea-4263-820a-39456c2f4103.jpg,1,E:\second-competition\data\train_data\train_image\21eb48ec-71ea-4263-820a-39456c2f4103.jpg,1
2252d767-77f4-45ec-8626-1ac26f82c5f3.jpg,1,E:\second-competition\data\train_data\train_image\2252d767-77f4-45ec-8626-1ac26f82c5f3.jpg,1
228cb122-1b62-4eb0-b19e-381e55cd8864.jpg,1,E:\second-competition\data\train_data\train_image\228cb122-1b62-4eb0-b19e-381e55cd8864.jpg,3
